172.85,39.28,38.87,a_001.JPG
90.46,13.48,109.07,a_004.JPG
88.26,13.18,108.74,a_005.JPG
86.19,13.08,108.56,a_006.JPG
83.58,12.88,108.87,a_007.JPG
81.51,12.88,108.69,a_008.JPG
79.45,12.88,108.52,a_009.JPG
77.37,12.98,108.35,a_010.JPG
77.92,11.38,107.88,a_011.JPG
80.13,11.38,108.21,a_012.JPG
82.06,11.38,108.21,a_013.JPG
83.99,11.48,108.24,a_014.JPG
86.47,11.68,107.77,a_015.JPG
88.54,11.78,107.94,a_016.JPG
90.87,11.78,108.43,a_017.JPG
93.63,12.08,108.29,a_018.JPG
96.26,12.28,109.11,a_019.JPG
100.11,12.78,109.13,a_020.JPG
99.57,10.48,109.61,a_021.JPG
96.8,10.38,108.63,a_022.JPG
93.77,10.28,108.45,a_023.JPG
91.01,10.08,108.59,a_024.JPG
88.26,10.08,108.74,a_025.JPG
86.6,10.08,107.93,a_026.JPG
84.4,10.08,107.6,a_027.JPG
81.92,9.98,108.06,a_028.JPG
80.27,9.98,107.26,a_029.JPG
77.51,9.98,107.4,a_030.JPG
77.65,8.48,107.56,a_031.JPG
80.27,8.48,107.26,a_032.JPG
81.92,8.48,108.06,a_033.JPG
84.4,8.48,107.6,a_034.JPG
86.47,8.48,107.77,a_035.JPG
88.54,8.48,107.94,a_036.JPG
90.87,8.48,108.43,a_037.JPG
93.63,8.48,108.29,a_038.JPG
96.67,8.48,108.47,a_039.JPG
111.11,8.48,98.53,a_040.JPG
105.89,5.68,103.6,a_041.JPG
97.35,6.48,108.16,a_042.JPG
94.32,6.68,107.98,a_043.JPG
91.42,6.78,107.96,a_044.JPG
88.68,6.88,108.1,a_045.JPG
86.47,6.88,107.77,a_046.JPG
84.26,6.98,107.44,a_047.JPG
82.2,6.88,107.26,a_048.JPG
80.13,6.98,107.1,a_049.JPG
77.51,6.98,107.4,a_050.JPG
77.51,5.38,107.4,a_051.JPG
79.72,5.48,107.73,a_052.JPG
82.2,5.38,107.26,a_053.JPG
84.4,5.38,107.6,a_054.JPG
86.33,5.28,107.61,a_055.JPG
88.54,5.18,107.94,a_056.JPG
91.28,4.98,107.8,a_057.JPG
93.63,4.78,108.29,a_058.JPG
96.8,4.58,108.63,a_059.JPG
86.5,7.38,122.27,a_060.JPG
86.5,6.68,122.27,a_061.JPG
92.96,3.98,113.06,a_062.JPG
90.75,4.28,112.73,a_063.JPG
89.37,3.98,111.14,a_064.JPG
